ts_code,symbol,name,enname,aliases
5328.TWO,5328.TWO,華容,,
5340.TWO,5340.TWO,建榮,,
5344.TWO,5344.TWO,立衛,,
5345.TWO,5345.TWO,馥鴻,,
5347.TWO,5347.TWO,世界,,
5348.TWO,5348.TWO,正能量智能,,
5351.TWO,5351.TWO,鈺創,,
5353.TWO,5353.TWO,台林,,
5355.TWO,5355.TWO,佳總,,
5356.TWO,5356.TWO,協益,,
5364.TWO,5364.TWO,力麗店,,
5371.TWO,5371.TWO,中光電,,
5381.TWO,5381.TWO,光譜,,
5386.TWO,5386.TWO,青雲,,
5392.TWO,5392.TWO,能率,,
5398.TWO,5398.TWO,慕康生醫,,
5403.TWO,5403.TWO,中菲,,
5410.TWO,5410.TWO,國眾,,
5425.TWO,5425.TWO,台半,,
5426.TWO,5426.TWO,振發,,
5432.TWO,5432.TWO,新門,,
5438.TWO,5438.TWO,東友,,
5439.TWO,5439.TWO,高技,,
5443.TWO,5443.TWO,均豪,,
5450.TWO,5450.TWO,南良,,
5452.TWO,5452.TWO,佶優,,
5455.TWO,5455.TWO,昇益,,
5457.TWO,5457.TWO,宣德,,
5460.TWO,5460.TWO,同協,,
5464.TWO,5464.TWO,霖宏,,
5465.TWO,5465.TWO,富驊,,
5468.TWO,5468.TWO,凱鈺,,
5474.TWO,5474.TWO,聰泰,,
5475.TWO,5475.TWO,德宏,,
5478.TWO,5478.TWO,智冠,,
5481.TWO,5481.TWO,新華,,
5483.TWO,5483.TWO,中美晶,,
5487.TWO,5487.TWO,通泰,,
5488.TWO,5488.TWO,松普,,
5489.TWO,5489.TWO,彩富,,
5490.TWO,5490.TWO,同亨,,
5493.TWO,5493.TWO,三聯,,
5498.TWO,5498.TWO,凱崴,,
5508.TWO,5508.TWO,永信建,,
5511.TWO,5511.TWO,德昌,,
5512.TWO,5512.TWO,力麒,,
5514.TWO,5514.TWO,三豐,,
5516.TWO,5516.TWO,雙喜,,
5520.TWO,5520.TWO,力泰,,
5523.TWO,5523.TWO,豐謙,,
5529.TWO,5529.TWO,鉅陞,,
5530.TWO,5530.TWO,龍巖,,
5536.TWO,5536.TWO,聖暉*,,
5543.TWO,5543.TWO,桓鼎-KY,,
5547.TWO,5547.TWO,久舜,,
5548.TWO,5548.TWO,安倉,,
5601.TWO,5601.TWO,台聯櫃,,
5603.TWO,5603.TWO,陸海,,
5604.TWO,5604.TWO,中連,,
5609.TWO,5609.TWO,中菲行,,
5701.TWO,5701.TWO,劍湖山,,
5703.TWO,5703.TWO,亞都,,
5704.TWO,5704.TWO,老爺知,,
5864.TWO,5864.TWO,致和證,,
5878.TWO,5878.TWO,台名,,
5902.TWO,5902.TWO,德記,,
5903.TWO,5903.TWO,全家,,
5904.TWO,5904.TWO,寶雅,,
5905.TWO,5905.TWO,南仁湖,,
6015.TWO,6015.TWO,宏遠證,,
6016.TWO,6016.TWO,康和證,,
6020.TWO,6020.TWO,大展證,,
6021.TWO,6021.TWO,美好證,,
6023.TWO,6023.TWO,元大期,,
6026.TWO,6026.TWO,福邦證,,
6028.TWO,6028.TWO,公勝保經,,
6101.TWO,6101.TWO,寬魚國際,,
6103.TWO,6103.TWO,合邦,,
6104.TWO,6104.TWO,創惟,,
6109.TWO,6109.TWO,亞元,,
6111.TWO,6111.TWO,光聚晶電,,
6113.TWO,6113.TWO,亞矽,,
6114.TWO,6114.TWO,久威,,
6118.TWO,6118.TWO,建達,,
6121.TWO,6121.TWO,新普,,
6122.TWO,6122.TWO,擎邦,,
6123.TWO,6123.TWO,上奇,,
6124.TWO,6124.TWO,業強,,
6125.TWO,6125.TWO,廣運,,
6126.TWO,6126.TWO,信音,,
6127.TWO,6127.TWO,九豪,,
6129.TWO,6129.TWO,普誠,,
6130.TWO,6130.TWO,上亞科技,,
6134.TWO,6134.TWO,萬旭,,
6138.TWO,6138.TWO,茂達,,
6140.TWO,6140.TWO,訊達,,
6143.TWO,6143.TWO,振曜,,
6144.TWO,6144.TWO,得利影,,
6146.TWO,6146.TWO,耕興,,
6147.TWO,6147.TWO,頎邦,,
6148.TWO,6148.TWO,驊宏資,,
6150.TWO,6150.TWO,撼訊,,
6151.TWO,6151.TWO,晉倫,,
6154.TWO,6154.TWO,順發,,
6156.TWO,6156.TWO,松上,,
6158.TWO,6158.TWO,禾昌,,
6160.TWO,6160.TWO,欣技,,
6161.TWO,6161.TWO,捷波,,
6163.TWO,6163.TWO,華電網,,
6167.TWO,6167.TWO,久正,,
6169.TWO,6169.TWO,昱泉,,
6170.TWO,6170.TWO,統振,,
6171.TWO,6171.TWO,大城地產,,
6173.TWO,6173.TWO,信昌電,,
6174.TWO,6174.TWO,安,,
6175.TWO,6175.TWO,立敦,,
6179.TWO,6179.TWO,亞通,,
6180.TWO,6180.TWO,橘子,,
6182.TWO,6182.TWO,合晶,,
6185.TWO,6185.TWO,幃翔,,
6186.TWO,6186.TWO,新潤,,
6187.TWO,6187.TWO,萬潤,,
6188.TWO,6188.TWO,廣明,,
6190.TWO,6190.TWO,萬泰科,,
6194.TWO,6194.TWO,育富,,
6195.TWO,6195.TWO,詩肯,,
6198.TWO,6198.TWO,瑞築,,
6199.TWO,6199.TWO,天品,,
6203.TWO,6203.TWO,海韻電,,
6204.TWO,6204.TWO,艾華,,
6207.TWO,6207.TWO,雷科,,
6208.TWO,6208.TWO,日揚,,
6210.TWO,6210.TWO,慶生,,
6212.TWO,6212.TWO,理銘,,
6217.TWO,6217.TWO,中探針,,
6218.TWO,6218.TWO,豪勉,,
6219.TWO,6219.TWO,富旺,,
6220.TWO,6220.TWO,岳豐,,
6221.TWO,6221.TWO,晉泰,,
6222.TWO,6222.TWO,立軒,,
6223.TWO,6223.TWO,旺矽,,
6227.TWO,6227.TWO,茂綸,,
6228.TWO,6228.TWO,全譜,,
6229.TWO,6229.TWO,研通,,
6231.TWO,6231.TWO,系微,,
6233.TWO,6233.TWO,旺玖,,
6234.TWO,6234.TWO,高僑,,
6236.TWO,6236.TWO,中湛,,
6237.TWO,6237.TWO,驊訊,,
6240.TWO,6240.TWO,松崗,,
6241.TWO,6241.TWO,鑫永洋,,
6242.TWO,6242.TWO,立康,,
6244.TWO,6244.TWO,茂迪,,
6245.TWO,6245.TWO,立端,,
6246.TWO,6246.TWO,臺龍,,
6248.TWO,6248.TWO,沛波,,
6259.TWO,6259.TWO,百徽,,
6261.TWO,6261.TWO,久元,,
6263.TWO,6263.TWO,普萊德,,
6264.TWO,6264.TWO,富裔,,
6265.TWO,6265.TWO,方土昶,,
6266.TWO,6266.TWO,泰詠,,
6270.TWO,6270.TWO,倍微,,
6274.TWO,6274.TWO,台燿,,
6275.TWO,6275.TWO,元山,,
6276.TWO,6276.TWO,安鈦克,,
6279.TWO,6279.TWO,胡連,,
6284.TWO,6284.TWO,佳邦,,
6290.TWO,6290.TWO,良維,,
6291.TWO,6291.TWO,沛亨,,
6292.TWO,6292.TWO,迅德,,
6294.TWO,6294.TWO,智基,,
6411.TWO,6411.TWO,晶焱,,
6417.TWO,6417.TWO,韋僑,,
6418.TWO,6418.TWO,詠昇,,
6419.TWO,6419.TWO,京晨科,,
6423.TWO,6423.TWO,億而得,,
6425.TWO,6425.TWO,易發,,
6432.TWO,6432.TWO,今展科,,
6435.TWO,6435.TWO,大中,,
6441.TWO,6441.TWO,廣錠,,
6461.TWO,6461.TWO,益得,,
6462.TWO,6462.TWO,神盾,,
6465.TWO,6465.TWO,威潤,,
6469.TWO,6469.TWO,大樹,,
6470.TWO,6470.TWO,宇智,,
6474.TWO,6474.TWO,華豫寧,,
6482.TWO,6482.TWO,弘煜科,,
6485.TWO,6485.TWO,點序,,
6486.TWO,6486.TWO,互動,,
6488.TWO,6488.TWO,環球晶,,环球晶|GlobalWafers
6492.TWO,6492.TWO,生華科,,
6494.TWO,6494.TWO,九齊,,
6496.TWO,6496.TWO,科懋,,
6498.TWO,6498.TWO,久禾光,,
6499.TWO,6499.TWO,益安,,
6506.TWO,6506.TWO,雙邦,,
6508.TWO,6508.TWO,惠光,,
6509.TWO,6509.TWO,聚和,,
6510.TWO,6510.TWO,精測,,
6512.TWO,6512.TWO,啟發電,,
6516.TWO,6516.TWO,勤崴國際,,
